gender,nearLocation,partner,promoFriends,phone,contractPeriod,groupVisits,age,avgAdditionalChargesTotal,monthToEndContract,lifetime,avgClassFrequencyTotal,avgClassFrequencyCurrentMonth,churn
0,0,0,0,1,1,0,30,127.44470952824148,1,3,0.6363818009615023,0.0,1
1,1,0,0,1,6,0,30,82.59868289081427,6,11,1.6999066430100769,1.5849080889305978,0
0,0,1,0,1,1,1,27,101.27721234003101,1,1,2.1066874398252,2.1171925121596824,1
1,1,0,0,1,6,1,36,112.09799679602997,6,5,2.994210455366142,2.949120339459846,0
0,0,0,0,0,1,0,31,232.1007256443369,1,9,1.897191253106352,1.885118702648645,0
1,1,0,0,1,12,1,31,141.4447170271112,9,2,3.7237565582282457,3.689264693443527,0
0,1,0,0,1,1,0,28,32.099068515810956,1,4,1.3240226885886708,1.390423046348591,1
0,0,1,0,1,6,0,25,50.50743979088386,6,1,1.7752052973725394,1.2166412357568936,1
0,1,1,1,1,1,1,28,262.1918347216923,1,11,2.624156861161451,2.4974966205629983,0
0,1,1,0,1,6,0,28,117.59485982335904,3,1,1.4353589273493368,1.2085476271173046,0
0,1,1,0,0,1,0,30,101.689339426064,1,3,0.0,0.3594509123748089,1
1,1,0,0,1,1,0,27,29.307421869575364,1,1,2.8539735293779915,2.821569672180911,0
1,1,1,0,1,12,0,30,276.8341210036676,12,1,0.9153574366827985,0.8532823848631869,0
1,1,1,0,1,12,1,29,78.40008943496862,11,3,1.675794711286125,1.7336956550231362,0
0,1,0,0,1,12,0,25,193.46920742564114,12,3,1.4573645698081157,1.762466663940884,0
0,1,0,0,1,12,0,29,170.3267081023806,12,6,2.379552667407128,2.3223068915218525,0
0,1,1,0,1,1,0,34,62.80852553467618,1,4,2.6205234615470974,2.605641417323622,0
1,0,0,0,1,12,0,30,84.64689655553487,12,10,3.601064607357013,3.6469869238531727,0
0,1,1,0,1,1,1,30,278.97812801733966,1,9,1.6916553227608944,1.6465270117944033,0
0,1,1,1,1,1,1,27,95.33518509101398,1,1,0.1135069170859455,0.0,1
0,1,0,1,1,1,0,32,52.357328700272994,1,3,0.8886788409130411,0.935009276804042,0
1,1,1,0,1,12,1,30,209.16147653191155,11,4,1.17374771802435,1.297812288876334,0
0,1,1,1,1,12,0,29,84.33107492652775,10,4,2.850402196472184,2.836455259119332,0
0,1,0,0,1,1,1,21,99.60654292476276,1,1,1.9143770956145096,1.0172175972028907,1
1,0,1,0,1,12,0,34,99.9795718962265,11,2,1.6990915113684353,1.7609313381803708,0
1,1,0,0,1,1,0,26,22.18728003080855,1,0,1.8988527183253296,0.9367417244602064,1
1,1,0,0,1,1,0,30,21.835648851362397,1,0,2.1354837829691395,1.8445647852104272,1
1,1,0,1,1,12,1,31,311.9806681629904,9,3,2.52137948187804,2.5348162352708274,0
1,0,1,0,1,1,0,23,67.22323053095349,1,1,2.008768853842281,1.8083236020471285,1
1,1,0,0,1,1,0,32,137.54865103600997,1,2,2.9714882086996632,3.0873052197051347,0
0,0,0,0,0,12,0,29,150.66396970263688,11,3,3.646066316674504,3.704629561648976,0
0,1,0,0,1,1,0,32,119.51853318570936,1,5,2.623186665009201,2.67276060154316,0
0,1,1,1,1,12,1,31,138.27780469400884,4,2,2.6548682332427216,2.623629632751136,0
0,1,1,1,1,12,0,32,114.67396099132112,11,3,2.234327532539274,2.176055678280251,0
1,1,1,0,0,6,0,31,117.43002513131007,6,3,1.7046360639506883,1.8013059352390686,0
1,1,1,1,1,12,1,29,64.37815932092016,11,3,2.96409709431036,3.040982138507768,0
0,0,0,0,1,1,0,33,188.5576724409923,1,4,1.3113500553727455,1.4903948467347767,0
0,1,0,0,1,6,0,33,23.219697487714825,6,1,2.0160156229343054,2.1578480348871234,0
0,1,0,0,1,12,1,32,11.309639334472498,11,1,0.222342972025704,0.1025605423802833,0
1,1,1,1,1,1,0,30,278.1634592281634,1,1,1.642802548397995,1.5255570768933504,0
1,1,0,0,1,12,0,26,41.79833958873828,12,0,2.153520973601061,1.6397413557828129,1
1,1,0,1,0,12,1,24,108.00734200932843,12,4,0.7250231017347564,0.7962141003758217,0
0,1,0,1,1,6,1,29,252.48795915364474,4,11,1.5301653695300663,1.4566682426552742,0
1,1,0,0,1,1,0,30,73.76113502741568,1,1,2.1506711298256262,2.045647790622245,1
1,1,0,1,1,1,0,28,132.17496823144324,1,1,2.0648075224151747,1.6156470236317668,1
1,1,0,0,1,12,0,25,185.7203078131916,12,1,0.0,0.0,0
0,1,1,1,1,12,1,29,222.65501397044312,12,10,2.3572937550286137,2.3872771676614626,0
0,1,1,1,1,1,1,29,31.577556552063022,1,8,2.770844775546217,2.6362822561857504,0
0,1,0,0,1,1,1,29,4.751637450215052,1,2,0.6676969360402809,0.5640664116076958,0
1,1,0,0,1,1,0,24,112.63463138537266,1,0,1.3902506063736928,0.7893214565878559,1
