idClient,gender,nearLocation,partner,promoFriends,phone,contractPeriod,groupVisits,age,avgAdditionalChargesTotal,monthToEndContract,lifetime,avgClassFrequencyTotal,avgClassFrequencyCurrentMonth
1,0,0,1,1,1,6,1,19,37.28,9,16,3.22,1.51
2,0,1,0,1,1,12,1,23,15.97,2,16,5.93,4.96
3,0,1,0,0,1,1,0,24,26.26,8,15,4.32,0.95
4,1,0,1,1,0,1,1,21,81.71,4,15,1.28,1.63
5,0,1,0,0,1,1,0,26,285.89,1,27,1.5,0.63
6,0,0,0,0,1,1,0,40,353.73,7,17,0.69,5.97
7,0,1,0,1,1,6,0,36,8.35,12,26,0.3,1.53
8,0,1,0,0,1,1,0,28,257.2,2,17,2.45,3.34
9,1,1,0,0,1,6,1,31,20.74,2,24,5.76,0.25
10,0,1,0,0,1,1,0,23,72.36,2,7,4.12,4.95
11,1,0,0,0,1,6,1,40,137.28,5,14,1.7,0.62
12,0,1,0,0,1,12,0,22,305.95,8,3,3.77,1.63
13,1,1,0,1,0,1,0,35,1.27,11,27,1.51,0.56
14,0,0,1,1,1,6,1,29,78.5,6,5,1.23,3.38
15,0,1,0,0,0,6,1,39,511.11,3,24,5.24,5.97
16,0,1,0,0,1,1,0,33,7.54,12,16,3.9,3.91
17,1,1,1,0,0,1,1,35,327.66,10,13,0.76,2.59
18,1,0,0,1,1,6,1,31,241.77,6,29,0.78,0.37
19,1,1,1,1,1,6,0,18,285.67,3,21,1.88,1.99
20,1,0,0,0,1,1,0,24,290.82,5,13,2.29,4.33
21,1,1,0,1,1,6,0,36,90.76,11,28,3.58,2.36
22,0,1,0,0,1,6,1,20,6.25,11,9,3.89,2.6
23,0,1,0,0,1,1,1,34,471.37,7,17,3.3,4.47
24,0,1,0,1,1,1,1,27,0.53,7,2,4.17,2.26
25,1,1,1,0,1,1,0,33,436.68,2,18,3.26,5.48
26,0,0,0,1,1,1,1,24,36.31,7,16,1.46,0.75
27,1,0,1,0,0,6,1,38,6.78,8,31,0.77,0.59
28,0,0,1,0,1,12,0,33,358.58,9,3,1.23,3.09
29,0,1,1,1,1,6,1,33,7.14,4,16,5.81,6.01
30,1,1,0,0,0,1,1,37,291.44,4,18,0.7,1.26
31,0,1,0,1,1,1,1,32,25.74,12,1,4.46,2.47
32,0,0,1,0,1,6,0,41,410.35,1,5,4.24,2.44
33,0,1,1,0,1,12,1,35,11.09,11,15,4.02,4.7
34,0,0,0,1,0,1,1,24,437.35,10,2,0.09,1.27
35,1,0,0,0,1,1,1,38,0.16,12,24,2.49,4.79
36,0,0,0,0,1,12,0,25,532.61,11,5,2.5,5.91
37,0,0,0,0,1,6,0,22,246.92,2,5,2.92,1.2
38,1,1,0,0,1,1,1,35,19.61,9,17,5.18,3.75
39,0,1,0,0,0,1,0,32,0.15,2,6,2.39,1.88
40,0,1,0,1,1,1,0,22,186.49,11,24,2.11,1.31
41,0,1,0,0,1,6,0,37,117.64,4,13,3.01,3.65
42,0,0,0,1,1,6,0,18,132.83,3,11,3.01,3.49
43,0,0,0,1,1,6,1,29,8.72,8,15,2.09,5.16
44,0,1,1,0,1,6,1,36,11.76,12,3,5.31,2.95
45,0,1,0,1,0,1,1,21,3.71,6,9,1.34,3.62
46,1,0,0,0,1,1,1,36,2.76,8,3,1.36,1.65
47,0,1,0,0,1,12,1,36,67.02,5,6,5.86,2.73
48,1,0,1,1,0,1,1,25,0.25,4,13,4.82,1.38
49,1,0,0,0,0,12,1,35,381.78,8,14,5.42,4.02
50,1,1,0,1,1,1,0,41,3.84,4,0,1.38,4.47
51,0,0,1,0,1,1,0,25,8.54,1,30,3.08,4.45
52,1,0,0,0,1,12,0,33,0.19,7,8,0.07,5.75
53,0,1,0,1,0,12,0,26,361.36,4,26,2.91,3.13
54,1,0,0,1,1,12,0,41,4.15,5,26,1.61,4.83
55,1,1,1,1,0,1,0,28,328.81,1,2,4.73,0.98
56,1,0,0,0,0,1,0,29,503.63,4,7,3.09,5.83
57,1,1,0,0,1,12,0,35,71.33,3,23,5.13,0.88
58,0,1,0,0,1,12,1,27,47.79,2,15,5.06,0.83
59,0,0,1,0,1,6,1,19,457.48,4,23,4.24,3.21
60,0,0,0,1,1,6,1,30,239.88,3,4,4.53,0.57
61,0,1,0,0,1,6,1,30,62.19,7,17,0.97,5.93
62,0,1,0,1,1,6,1,36,22.95,3,22,5.77,5.22
63,1,1,0,0,1,1,1,28,10.22,11,10,1.27,2.44
64,1,1,0,1,1,1,1,33,335.12,1,31,2.54,1.47
65,0,0,0,1,1,12,1,32,237.63,9,2,2.38,1.49
66,1,1,0,0,1,12,0,32,436.66,1,22,3.73,2.24
67,1,1,0,0,1,1,0,37,104.08,1,23,1.16,4.04
68,1,0,0,1,1,12,1,34,100.36,10,17,1.6,5.47
69,1,0,0,0,1,1,1,29,492.2,12,12,4.39,0.87
70,1,0,1,1,1,6,1,33,154.77,9,6,1.84,3.01
71,1,0,0,0,1,6,0,32,13.59,12,26,2.96,0.85
72,0,1,0,0,0,6,0,31,187.29,1,29,2.72,5.09
73,1,1,0,1,0,1,1,40,5.12,7,11,1.22,3.83
74,1,0,0,1,1,12,0,23,0.3,4,31,2.01,3.45
75,0,1,1,0,1,6,0,26,183.39,6,4,2.49,3.06
76,1,0,0,0,1,1,0,36,35.47,11,19,0.17,5.56
77,0,1,1,0,1,6,1,40,145.14,7,13,2.79,3.41
78,1,1,0,1,1,1,0,36,88.7,11,27,0.07,3.99
79,1,0,0,0,1,12,0,32,505.57,11,0,0.5,3.11
80,0,0,0,1,1,1,0,32,239.22,8,3,5.17,2.06
81,1,0,0,1,1,1,0,21,248.66,10,7,1.07,3.03
82,0,0,0,0,1,6,0,35,60.41,6,7,5.33,2.69
83,0,1,0,1,0,12,1,23,11.45,4,8,1.22,2.07
84,1,1,0,1,1,6,0,22,186.64,5,8,1.08,3.07
85,1,0,1,0,1,1,0,41,21.93,10,4,1.37,1.46
86,1,0,1,0,0,12,1,22,423.67,8,3,2.85,2.85
87,0,1,0,1,1,1,0,40,143.91,9,4,0.67,2.25
88,1,1,0,0,0,12,0,37,2.73,11,18,5.73,0.14
89,1,1,1,0,1,12,0,36,225.84,11,21,1.43,0.25
90,1,1,1,1,1,1,0,18,0.15,8,19,2.68,0.57
91,0,0,0,1,1,6,1,37,264.9,1,20,3.6,0.88
92,0,1,0,0,0,6,0,18,80.83,5,14,4.93,2.3
93,0,0,0,0,1,1,0,22,51.7,3,22,5.09,4.38
94,0,0,1,0,0,6,1,22,24.46,10,1,1.03,4.64
95,1,1,0,0,1,1,1,39,222.3,3,24,3.97,4.79
96,1,0,0,1,1,6,1,38,547.76,9,12,2.09,0.47
97,1,0,0,0,0,12,0,24,77.92,8,3,0.97,4.22
98,1,1,0,0,1,12,0,24,27.31,2,15,3.33,1.9
99,0,1,0,1,1,6,0,21,181.02,12,27,4.3,4.72
100,1,1,0,1,0,6,0,23,95.92,3,12,1.53,3.81
101,1,1,0,1,1,6,1,29,5.71,9,2,5.23,1.11
102,1,1,0,0,1,6,0,19,27.51,9,20,2.95,5.45
103,1,0,0,0,1,1,0,20,0.23,5,13,2.87,4.25
104,1,0,1,0,1,12,0,40,1.43,9,31,5.32,4.45
105,0,0,0,0,1,6,1,37,10.92,2,7,1.24,2.22
106,0,0,0,0,1,12,0,29,141.01,7,28,4.56,0.98
107,1,1,0,1,1,6,0,41,55.1,10,21,0.59,4.38
108,0,1,1,1,1,12,1,27,146.9,4,26,0.27,2.96
109,1,1,1,1,1,12,1,30,483.84,8,3,4.53,3.6
110,1,0,0,0,1,6,0,30,430.18,2,31,3.69,1.86
111,1,1,0,1,1,12,1,39,479.68,10,1,0.73,3.19
112,0,1,1,0,1,6,0,21,97.06,7,24,2.14,2.96
113,0,0,0,0,1,6,1,25,18.56,11,2,1.19,1.07
114,0,0,1,0,0,12,0,34,102.24,11,4,3.44,5.75
115,0,1,0,0,1,6,0,20,95.45,4,29,0.14,4.83
116,1,0,0,0,1,6,0,22,47.97,2,12,5.69,1.47
117,1,0,1,0,1,12,1,28,259.35,4,29,4.04,2.86
118,0,0,1,0,1,6,1,30,0.72,8,20,3.08,4.56
119,1,0,0,0,1,6,1,32,0.25,9,10,2.29,1.88
120,1,0,1,0,1,6,1,27,351.49,12,24,1.74,2.65
121,1,0,1,1,1,6,0,33,353.98,10,17,3.1,4.06
122,1,0,0,1,0,6,1,26,202.45,8,14,0.67,2.09
123,1,0,0,1,1,12,1,28,109.14,9,2,3.18,1.74
124,0,0,0,1,0,1,0,33,88.09,1,6,4.35,1.51
125,1,1,1,1,1,6,0,41,161.36,10,17,0.38,5.59
126,0,0,1,1,1,12,1,32,1.77,5,10,1.49,1.66
127,0,0,0,0,1,12,0,36,7.76,5,25,5.67,5.42
128,1,1,0,0,1,12,0,37,38.74,9,2,2.11,4.44
129,0,0,0,1,1,6,0,21,0.98,3,8,2.85,4.81
130,1,1,0,1,1,12,0,38,199.66,4,23,4.24,5.69
131,1,1,1,0,1,12,1,22,5.0,2,9,4.35,4.23
132,1,0,0,1,1,12,1,40,500.82,8,24,3.64,1.1
133,1,0,0,0,0,12,0,31,358.33,8,15,5.11,5.33
134,0,0,0,0,0,12,0,23,192.4,2,14,2.29,0.34
135,1,1,1,1,1,1,0,18,2.59,4,13,2.91,0.3
136,0,0,0,0,1,12,0,31,334.48,5,6,5.33,0.57
137,0,1,0,0,1,6,1,31,548.7,12,23,5.22,4.9
138,0,0,0,0,1,6,0,41,491.73,2,13,1.29,3.49
139,1,1,0,0,0,12,0,18,46.33,10,24,0.22,4.59
140,1,0,0,0,1,6,1,25,55.19,9,26,2.02,5.9
141,1,1,0,0,0,1,0,33,202.45,2,26,2.91,3.78
142,0,1,0,0,1,6,0,41,16.11,6,27,2.47,3.71
143,1,1,0,1,0,6,0,32,0.27,10,7,4.72,3.54
144,1,1,1,0,1,12,0,19,48.11,11,0,1.94,4.49
145,1,0,1,0,1,6,0,21,121.49,2,22,2.3,5.71
146,0,1,0,1,1,1,0,21,280.48,5,9,4.13,4.48
147,0,1,1,0,1,1,1,36,221.69,1,13,1.51,2.15
148,1,0,0,0,1,6,0,35,229.0,5,8,4.85,3.84
149,0,1,1,0,1,12,1,36,446.82,1,24,5.43,3.23
150,0,1,0,1,1,6,1,28,16.11,12,1,1.14,1.28
151,0,1,0,1,0,12,1,23,120.35,2,22,3.51,5.76
152,1,1,0,1,1,6,0,40,430.61,6,14,1.23,0.84
153,0,1,1,1,1,1,1,37,0.73,8,3,5.38,5.67
154,1,0,1,1,1,12,1,18,54.89,6,16,2.67,3.14
155,0,1,0,0,0,12,0,26,337.2,10,28,3.93,3.72
156,0,1,0,0,1,6,0,19,285.44,12,6,5.4,3.57
157,0,1,1,0,1,6,1,32,116.79,2,8,0.82,1.71
158,0,0,1,1,1,1,0,22,88.31,11,31,1.81,1.43
159,1,1,0,1,0,6,1,33,30.61,10,8,4.69,0.68
160,0,1,0,0,1,6,0,28,381.84,4,10,0.15,3.88
161,0,1,1,0,1,6,0,25,108.4,1,6,1.87,0.88
162,0,1,0,0,1,6,1,22,30.66,6,21,1.03,4.94
163,1,1,0,1,1,6,0,41,322.85,11,17,1.95,5.51
164,1,1,1,1,1,1,1,40,293.33,10,1,5.12,0.51
165,0,0,0,1,0,1,0,19,203.68,10,11,2.81,5.14
166,0,0,1,1,1,6,1,21,171.07,11,16,3.57,4.27
167,1,1,0,0,1,1,0,28,71.24,7,24,2.94,4.55
168,0,1,0,0,1,6,1,32,4.59,6,7,2.55,4.67
169,0,1,0,1,1,1,0,36,32.89,4,3,1.73,4.38
170,1,0,0,1,1,1,1,31,311.31,4,25,1.04,5.58
171,1,1,0,0,1,1,0,27,32.48,8,16,0.84,3.21
172,0,0,0,0,1,12,0,34,52.39,3,10,5.41,4.56
173,0,1,0,1,1,12,1,26,111.66,10,29,5.38,3.13
174,1,0,0,1,1,6,1,25,320.92,6,6,2.64,2.02
175,0,1,0,0,1,6,0,36,521.51,11,31,4.12,5.03
176,0,1,0,0,1,6,1,19,351.74,8,13,1.05,5.62
177,0,1,0,1,1,6,1,30,54.52,12,2,4.02,0.59
178,1,1,0,0,0,1,1,26,50.68,8,29,1.37,2.81
179,1,0,0,1,1,1,0,31,325.53,3,3,1.87,0.63
180,0,0,0,1,0,6,0,26,300.71,11,2,5.04,5.92
181,1,1,0,1,1,1,1,19,153.43,8,17,3.85,4.65
182,0,1,0,0,1,12,0,26,60.11,6,24,1.89,4.96
183,0,1,0,0,1,6,1,20,249.26,7,7,2.07,0.59
184,1,0,0,0,0,12,1,35,162.95,6,31,5.62,5.75
185,0,0,1,0,0,12,0,39,77.48,12,16,4.96,2.32
186,1,1,0,0,1,1,0,22,0.57,1,31,3.59,0.25
187,0,0,0,1,1,1,1,24,1.44,1,22,5.8,0.35
188,0,0,0,0,0,1,0,38,87.16,7,9,4.28,3.33
189,1,0,1,0,1,12,0,31,226.69,8,24,1.9,5.74
190,0,0,0,0,0,1,1,30,261.21,2,19,2.2,1.55
191,0,0,0,1,1,1,1,20,400.16,6,6,0.08,4.96
192,1,0,0,0,1,1,0,40,101.93,7,10,1.63,1.22
193,1,0,0,0,1,12,1,24,200.29,8,31,1.41,5.36
194,0,0,0,0,1,6,0,37,420.37,11,11,4.32,0.81
195,0,0,0,1,1,6,1,22,304.48,2,25,1.4,0.94
196,1,0,1,0,1,1,1,36,102.0,12,13,5.7,2.39
197,0,0,0,0,1,6,0,32,0.2,2,9,1.41,5.35
198,1,0,0,0,0,12,1,35,421.95,6,31,4.17,0.5
199,0,0,0,1,1,12,0,22,362.02,12,6,1.25,5.09
200,0,0,0,0,1,12,0,32,339.34,10,1,1.05,2.78
201,1,0,0,0,1,12,1,35,253.71,7,23,0.53,5.4
202,0,1,0,0,0,12,0,37,0.41,5,10,0.51,5.48
203,0,1,0,0,0,12,1,38,99.74,6,21,4.94,3.14
204,0,1,0,0,1,12,1,33,99.95,2,17,1.04,1.36
205,1,1,0,1,1,1,1,40,53.34,8,15,1.38,4.35
206,1,0,0,1,1,6,1,27,88.85,1,24,1.52,2.46
207,0,1,0,0,1,1,1,33,1.61,9,7,1.17,4.92
208,0,1,0,1,0,12,0,31,178.3,5,13,2.97,0.57
209,1,1,1,0,1,1,1,37,30.46,4,5,0.95,4.77
210,0,0,1,0,0,6,0,28,117.88,1,5,1.21,0.91
211,0,0,0,1,1,6,0,36,27.27,8,14,0.1,5.34
212,0,1,0,1,0,1,1,18,9.99,2,16,4.89,1.31
213,1,1,0,0,1,1,0,30,59.85,5,16,5.35,1.12
214,1,1,0,0,1,1,1,21,347.01,1,8,2.01,1.14
215,0,1,1,1,1,1,1,24,94.1,12,0,3.9,0.76
