idClient,gender,nearLocation,partner,promoFriends,phone,contractPeriod,groupVisits,age,avgAdditionalChargesTotal,monthToEndContract,lifetime,avgClassFrequencyTotal,avgClassFrequencyCurrentMonth
1800,1,0,1,0,1,1,1,29,21.256168705279805,1,7,0.500420847523896,0.5030474724732104
2297,0,1,0,0,1,1,1,29,98.34150224252453,1,1,2.8510584599227538,2.8437326779424765
1178,0,1,0,0,1,1,0,31,66.32918998205136,1,1,1.064835069616445,0.7527307808037589
3376,1,1,1,0,1,12,0,28,59.89388941502892,9,2,1.7922419344695546,1.6006014818394934
2207,0,1,1,1,1,12,0,28,146.35732457091146,7,5,2.453571636927433,2.4020010964376457
87,1,1,1,0,1,12,1,30,251.4285935907357,11,4,1.17374771802435,1.297812288876334
2996,0,1,0,0,1,12,0,34,11.127883866898316,6,1,3.0187887001611724,2.848793627149133
3969,1,1,1,1,1,6,1,34,253.8153680221585,5,11,1.6219631356294348,1.6644469258582175
3813,0,1,1,1,1,6,1,35,384.40920282059614,6,1,0.9792356164031222,0.9632919497773934
2511,1,1,1,1,1,6,1,33,60.30236761650484,6,1,2.3813207201130115,2.5221891034388007
1828,0,1,0,0,1,6,0,24,168.92471893292333,6,1,1.2600004682077042,0.0
277,0,1,0,0,1,12,0,30,165.97774217280755,12,3,2.8817310599475534,2.9094484043399778
2220,1,1,0,0,0,6,1,24,160.51620266408364,6,1,2.8722759350221656,2.998211161480333
142,1,1,0,0,1,6,1,30,172.19943740262332,6,3,2.0573506141918423,2.026214820457785
3300,1,1,0,0,1,12,0,29,132.67143635191144,10,2,1.0774892545087078,0.5251957831822072
3935,0,1,1,0,1,6,0,32,192.3852789022296,6,7,1.965493201263719,1.9352551348259803
2492,0,1,0,0,1,1,0,33,339.39610325583686,1,7,1.957221588380751,2.0864960723806942
2566,0,1,1,1,1,6,0,35,196.44036068570875,6,3,0.6247043584771257,0.6496831911722812
3613,0,1,0,0,1,6,0,30,217.2522405284329,6,2,0.8844168480401784,0.8805690047689371
2343,1,1,0,0,1,1,1,32,424.07081667113033,1,1,1.8846850020767243,1.9692095350694496
1157,0,1,1,0,1,6,0,30,212.24770454816257,6,3,0.6345978194894437,0.6810576763232825
1131,1,1,0,0,1,6,1,28,57.888076968277474,6,2,2.6002709785965807,2.6346987456600184
3601,0,1,1,1,1,12,1,31,56.87989785434846,9,5,2.834753583941441,2.914802134756083
1754,0,1,0,0,1,1,1,32,246.6012882497685,1,3,1.3081607966948905,1.2798043326449349
1241,0,1,1,1,1,1,1,29,14.961867364790123,1,0,1.1060383718048277,0.6386804940346911
479,0,1,0,0,1,1,1,28,65.93002818229921,1,1,2.0296091099554805,1.6916320981125283
3482,0,1,0,0,1,1,1,30,44.41910072373985,1,0,1.6929239852595812,1.613738293694151
3873,1,1,1,1,0,12,1,33,103.22677898351152,11,5,1.5641311861109597,1.810101762979288
524,0,1,0,0,1,1,1,33,187.0758927783764,1,2,1.8708075911084083,1.6880617810115826
2650,0,1,0,0,1,6,0,29,183.09465895082337,5,5,1.750356324942106,1.797684282341875
1095,1,1,1,0,1,1,0,25,296.14637812936434,1,0,2.0708385926142143,1.0903656225663312
15,0,1,0,0,1,6,0,35,209.8881331905138,3,8,1.978083818026388,2.117349155762039
2824,1,0,1,0,1,1,0,25,18.99341165133789,1,1,3.8981840120227145,3.855509117049857
1450,1,1,1,1,1,12,1,33,56.24066762008796,4,7,0.9708362678465146,0.9800362055297503
3841,0,1,1,1,0,12,1,29,139.46263197080054,12,3,3.7097246217996833,3.7016092594859695
1822,0,1,0,0,1,1,0,25,237.2224880503049,1,0,1.805476305862869,1.0983458986008907
625,1,1,0,1,1,1,1,28,67.03548209581632,1,2,1.5292381400793094,1.5672598775696291
675,0,1,0,0,1,1,0,26,134.17369455411065,1,0,2.362799588386612,2.323650188679045
1973,0,0,1,0,1,1,1,26,87.21669806482393,1,0,0.8586514374793546,0.8215665437930622
130,0,1,0,0,1,12,1,28,5.865051308080439,9,7,1.3528004355223553,1.316758784003043
899,1,1,0,0,1,1,1,26,84.32011180145994,1,10,2.153606213915765,2.2600818302081858
481,0,0,1,1,1,12,0,30,25.546786355178284,12,2,3.0654234171636943,2.916888599196331
1213,0,1,0,0,0,1,0,26,118.17365932642504,1,3,3.900935818538316,4.036181968272859
203,1,1,1,0,1,6,0,30,53.38598407052636,6,1,0.2755422040118007,0.2480950087760094
186,1,0,1,0,1,12,1,29,73.06104519177603,8,2,1.6702396738740806,1.7759602350858017
3505,0,0,0,0,1,6,1,28,81.25268538945234,6,5,2.7391385615139736,2.8037654585009486
1825,0,1,0,0,1,1,1,27,69.35291737760048,1,4,2.1039873196731227,2.178061030956395
2932,0,0,0,0,1,6,0,26,112.34830405864278,6,7,3.0172172024629207,2.9145358231758927
1423,0,1,1,1,1,12,0,33,114.15861988948792,12,3,1.9884533929314407,1.9457317680054864
1559,1,1,0,0,1,1,0,34,51.218426542294274,1,5,2.7360019438521244,2.4314301658528183
786,1,0,0,0,1,1,0,21,117.76592211390852,1,2,0.8974634388858421,0.0127942747777363
44,0,1,1,1,0,1,1,30,261.7131880951677,1,4,3.863329318623784,3.8082617008204727
2419,0,1,1,0,1,12,0,27,260.3803118088839,12,1,1.4475220818902603,1.6760923273649122
1852,1,1,0,1,1,1,1,26,69.57646991332932,1,2,1.1773886029973126,0.4474370844697098
3430,1,1,0,1,1,6,1,24,113.0339868554672,6,4,2.096529851471265,2.074319800705892
3251,1,1,0,1,1,1,0,27,92.62511215974644,1,0,1.858157612405908,1.4989929329547749
1652,1,1,1,1,1,1,0,27,101.8486845377747,1,0,2.338990126139733,1.84442771420312
3371,1,1,1,0,1,6,1,25,164.24367665550034,6,2,1.53561255462174,1.1413730780077826
1003,1,1,0,1,1,1,1,30,163.53735157941753,1,8,1.8603767237435127,2.029575198612966
1851,1,1,0,0,1,6,1,29,310.14786832180783,6,4,3.30471380130464,3.1837252419548747
251,0,1,0,0,0,12,1,32,27.65726189361179,8,1,1.623602921242801,1.7199711123636765
628,0,1,0,0,1,1,1,33,149.99526069491017,1,0,0.3623935048740561,0.580038303548587
3289,1,1,0,0,1,1,1,27,6.554918566615387,1,10,1.7791889414933866,1.8231687651596384
503,0,1,0,0,1,1,0,24,140.12753386679398,1,1,1.182957940235344,1.134268767794481
